Effective date ,SPGC.Index,,
2013/10/31,669.21,,
2013/11/1,670.66,,
2013/11/4,682.76,,
2013/11/5,683.53,,
2013/11/6,688.2,,
2013/11/7,667.28,,
2013/11/8,668.9,,
2013/11/11,673.59,,
2013/11/12,671.34,,
2013/11/13,672.87,,
2013/11/14,683.36,,
2013/11/15,685.88,,
2013/11/18,688.09,,
2013/11/19,675.85,,
2013/11/20,671.53,,
2013/11/21,672.6,,
2013/11/22,670.01,,
2013/11/25,668.97,,
2013/11/26,665.56,,
2013/11/27,666.33,,
2013/11/28,667.37,,
2013/11/29,668.95,,
2013/12/2,665.44,,
2013/12/3,657.32,,
2013/12/4,654.48,,
2013/12/5,654.41,,
2013/12/6,654.59,,
2013/12/9,650.65,,
2013/12/10,653.42,,
2013/12/11,646.18,,
2013/12/12,643.03,,
2013/12/13,643.11,,
2013/12/16,645.23,,
2013/12/17,645.63,,
2013/12/18,648.92,,
2013/12/19,653.35,,
2013/12/20,645.44,,
2013/12/23,650.8,,
2013/12/24,647.67,,
2013/12/25,647.22,,
2013/12/26,649.45,,
2013/12/27,662.25,,
2013/12/30,664.74,,
2013/12/31,666.62,,
2014/1/2,681.25,,
2014/1/3,684.2,,
2014/1/6,680.64,,
2014/1/7,685.5,,
2014/1/8,687.28,,
2014/1/9,687.01,,
2014/1/10,689.39,,
2014/1/13,686.63,,
2014/1/14,686.06,,
2014/1/15,690.7,,
2014/1/16,698.56,,
2014/1/17,700.75,,
2014/1/20,698.43,,
2014/1/21,695.72,,
2014/1/22,698.9,,
2014/1/23,689.24,,
2014/1/24,668.59,,
2014/1/27,653.07,,
2014/1/28,666.07,,
2014/1/29,666.29,,
2014/1/30,666.69,,
2014/1/31,670.04,,
2014/2/3,654.22,,
2014/2/4,646.26,,
2014/2/5,643.42,,
2014/2/6,656.19,,
2014/2/7,674.4,,
2014/2/10,679.52,,
2014/2/11,678.86,,
2014/2/12,684.8,,
2014/2/13,688.78,,
2014/2/14,687.15,,
2014/2/17,691.55,,
2014/2/18,696.99,,
2014/2/19,692.41,,
2014/2/20,690.02,,
2014/2/21,696.62,,
2014/2/24,707.35,,
2014/2/25,706.99,,
2014/2/26,708.25,,
2014/2/27,719.43,,
2014/2/28,722.27,,
2014/3/3,718.28,,
2014/3/4,735.08,,
2014/3/5,733.89,,
2014/3/6,745.71,,
2014/3/7,744.01,,
2014/3/10,736.2,,
2014/3/11,738.58,,
2014/3/12,731.01,,
2014/3/13,720.18,,
2014/3/14,705.26,,
2014/3/17,710.32,,
2014/3/18,715.97,,
2014/3/19,725.48,,
2014/3/20,716.51,,
2014/3/21,709.32,,
2014/3/24,707.05,,
2014/3/25,703.85,,
2014/3/26,698.58,,
2014/3/27,707.75,,
2014/3/28,711,,
2014/3/31,714.39,,
2014/4/1,719.72,,
2014/4/2,721.88,,
2014/4/3,711.36,,
2014/4/4,709.77,,
2014/4/7,697.9,,
2014/4/8,698.82,,
2014/4/9,705.61,,
2014/4/10,695.32,,
2014/4/11,686.98,,
2014/4/14,676.79,,
2014/4/15,670.11,,
2014/4/16,683.4,,
2014/4/17,686.83,,
2014/4/18,687.2,,
2014/4/21,689.5,,
2014/4/22,706.42,,
2014/4/23,704.91,,
2014/4/24,701.55,,
2014/4/25,691.85,,
2014/4/28,678.25,,
2014/4/29,675.52,,
2014/4/30,678.65,,
2014/5/1,681.15,,
2014/5/2,685.38,,
2014/5/5,684.23,,
2014/5/6,683.06,,
2014/5/7,668.45,,
2014/5/8,663.33,,
2014/5/9,665.49,,
2014/5/12,682.64,,
2014/5/13,681.78,,
2014/5/14,685.71,,
2014/5/15,670.25,,
2014/5/16,664.65,,
2014/5/19,666.37,,
2014/5/20,666.27,,
2014/5/21,676.21,,
2014/5/22,688.05,,
2014/5/23,694.72,,
2014/5/26,700.91,,
2014/5/27,699.51,,
2014/5/28,700.31,,
2014/5/29,706.86,,
2014/5/30,704.2,,
2014/6/2,704.78,,
2014/6/3,702.64,,
2014/6/4,700.28,,
2014/6/5,706.22,,
2014/6/6,711.69,,
2014/6/9,714.21,,
2014/6/10,713.41,,
2014/6/11,716.57,,
2014/6/12,719.65,,
2014/6/13,727.56,,
2014/6/16,728.47,,
2014/6/17,740.58,,
2014/6/18,747.92,,
2014/6/19,747.73,,
2014/6/20,749.77,,
2014/6/23,744.52,,
2014/6/24,737.43,,
2014/6/25,741.08,,
2014/6/26,748.18,,
2014/6/27,751.3,,
2014/6/30,753.92,,
2014/7/1,752.42,,
2014/7/2,753.15,,
2014/7/3,761.89,,
2014/7/4,757.36,,
2014/7/7,748.96,,
2014/7/8,729.18,,
2014/7/9,728.93,,
2014/7/10,721.28,,
2014/7/11,721.9,,
2014/7/14,726.44,,
2014/7/15,722.44,,
2014/7/16,725.01,,
2014/7/17,717.27,,
2014/7/18,725.76,,
2014/7/21,727.07,,
2014/7/22,737.52,,
2014/7/23,733.83,,
2014/7/24,736.24,,
2014/7/25,735.05,,
2014/7/28,736.84,,
2014/7/29,731.95,,
2014/7/30,732.24,,
2014/7/31,716.6,,
2014/8/1,707.24,,
2014/8/4,715.12,,
2014/8/5,717.36,,
2014/8/6,717.83,,
2014/8/7,720.86,,
2014/8/8,715.81,,
2014/8/11,732.07,,
2014/8/12,730.28,,
2014/8/13,737.57,,
2014/8/14,740.54,,
2014/8/15,742.38,,
2014/8/18,749.88,,
2014/8/19,754.78,,
2014/8/20,756.31,,
2014/8/21,753,,
2014/8/22,752.26,,
